prod_photo,prod_link,prod_name,prod_price,rating,no_of_ratings,sponsored,sale_last_month
https://m.media-amazon.com/images/I/71hMZ91Q3KL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQ5Mzc0Mjc3MDUyNzk3OjE3MjUzMzkxMzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDMxMzIwOTAyNTMzMjo6MDo6&url=%2FBoult-Launched-Wireless-Bluetooth-Earbuds%2Fdp%2FB0D22QWQHR%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.02gCIaMK6r0qUTS2pB0r8v7a9IjGkbmK_l2Hwxv6MQz2-H82MvyS4O58o99Z_4Kv-XdfLeAIf2xtMnHpmjToPw.u7yNAhDus1aYyMP7hq6bkOhMqJxP6ZhNILB_V-rLYiU%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0D22QWQHR%26pd_rd_r%3D708c4c5c-99dd-4350-b1f7-980b5e9bbf42%26pd_rd_w%3DG4vPK%26pd_rd_wg%3DAAsEJ%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3D0YVPPFYP9VFV5XV0488C%26qid%3D1725339137%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-17-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult Audio Newly Launched Z20 Pro, Truly Wireless Bluetooth Ear Buds with 60 Hours Playtime, 4 Mics Clear Calling, 45ms Low Latency, Rich Bass Drivers, TWS Earbuds Bluetooth Wireless (Powder Blue)",999,4.1,360,Not-Sponsored,3000
https://m.media-amazon.com/images/I/51xEhJo5izL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQ5Mzc0Mjc3MDUyNzk3OjE3MjUzMzkxMzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI1MTQ5ODc3NDMzMjo6MTo6&url=%2FBoult-Wireless-Earbuds-Playtime-Charging%2Fdp%2FB0CTCVBRLF%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.02gCIaMK6r0qUTS2pB0r8v7a9IjGkbmK_l2Hwxv6MQz2-H82MvyS4O58o99Z_4Kv-XdfLeAIf2xtMnHpmjToPw.u7yNAhDus1aYyMP7hq6bkOhMqJxP6ZhNILB_V-rLYiU%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0CTCVBRLF%26pd_rd_r%3D708c4c5c-99dd-4350-b1f7-980b5e9bbf42%26pd_rd_w%3DG4vPK%26pd_rd_wg%3DAAsEJ%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3D0YVPPFYP9VFV5XV0488C%26qid%3D1725339137%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-18-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult Audio K40 True Wireless in Ear Earbuds with 48H Playtime, Clear Calling 4 Mics, 45ms Low Latency Gaming, Premium Grip, 13mm Bass Drivers, Type-C Fast Charging, BTv 5.3 Ear Buds TWS (Khaki Green)","1,299",4,"3,371",Not-Sponsored,500
https://m.media-amazon.com/images/I/71cnyWVRUKL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQ5Mzc0Mjc3MDUyNzk3OjE3MjUzMzkxMzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI5MjAxNjEwNTAzMjo6Mjo6&url=%2FBoult-Wireless-Earbuds-Playtime-Charging%2Fdp%2FB0D3R61C1L%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.02gCIaMK6r0qUTS2pB0r8v7a9IjGkbmK_l2Hwxv6MQz2-H82MvyS4O58o99Z_4Kv-XdfLeAIf2xtMnHpmjToPw.u7yNAhDus1aYyMP7hq6bkOhMqJxP6ZhNILB_V-rLYiU%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0D3R61C1L%26pd_rd_r%3D708c4c5c-99dd-4350-b1f7-980b5e9bbf42%26pd_rd_w%3DG4vPK%26pd_rd_wg%3DAAsEJ%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3D0YVPPFYP9VFV5XV0488C%26qid%3D1725339137%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-19-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult Audio W20 Truly Wireless in Ear Earbuds with 35H Playtime, Zen™ ENC Mic, 45ms Low Latency, 13mm Bass Drivers, Type-C Fast Charging, Made in India,Touch Controls, IPX5 Ear Buds TWS (Pine Green)",799,4.1,"2,940",Not-Sponsored,5000
https://m.media-amazon.com/images/I/719xn0KawFL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQ5Mzc0Mjc3MDUyNzk3OjE3MjUzMzkxMzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDIzMjEwNTg3NzkzMjo6Mzo6&url=%2FBoult-Launched-Earbuds-Breathing-Bluetooth%2Fdp%2FB0D63CNLJ9%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.02gCIaMK6r0qUTS2pB0r8v7a9IjGkbmK_l2Hwxv6MQz2-H82MvyS4O58o99Z_4Kv-XdfLeAIf2xtMnHpmjToPw.u7yNAhDus1aYyMP7hq6bkOhMqJxP6ZhNILB_V-rLYiU%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0D63CNLJ9%26pd_rd_r%3D708c4c5c-99dd-4350-b1f7-980b5e9bbf42%26pd_rd_w%3DG4vPK%26pd_rd_wg%3DAAsEJ%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3D0YVPPFYP9VFV5XV0488C%26qid%3D1725339137%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-20-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult x Mustang Torq Newly Launched Truly Wireless in Ear Earbuds with 50H Playtime, App Support, Quad Mic ENC, 45ms Low Latency, Breathing LEDs, 13mm Drivers, Made in India ear buds TWS Bluetooth 5.4","1,999",4.1,"1,170",Not-Sponsored,5000
https://m.media-amazon.com/images/I/71g4CMwdYyL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDQ5Mzc0Mjc3MDUyNzk3OjE3MjUzMzkxMzc6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI1MTQ5ODc3NDkzMjo6NDo6&url=%2FBoult-Wireless-Earbuds-Playtime-Breathing%2Fdp%2FB0CVKQX997%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.02gCIaMK6r0qUTS2pB0r8v7a9IjGkbmK_l2Hwxv6MQz2-H82MvyS4O58o99Z_4Kv-XdfLeAIf2xtMnHpmjToPw.u7yNAhDus1aYyMP7hq6bkOhMqJxP6ZhNILB_V-rLYiU%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0CVKQX997%26pd_rd_r%3D708c4c5c-99dd-4350-b1f7-980b5e9bbf42%26pd_rd_w%3DG4vPK%26pd_rd_wg%3DAAsEJ%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3D0YVPPFYP9VFV5XV0488C%26qid%3D1725339137%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-21-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult Audio UFO Truly Wireless in Ear Earbuds with 48H Playtime, Built-in App Support, 45ms Low Latency Gaming, 4 Mics ENC, Breathing LEDs, 13mm Bass Drivers Ear Buds TWS, Made in India (Smoky Metal)","1,299",4.2,"6,730",Not-Sponsored,4000
https://m.media-amazon.com/images/I/71O8t6q1z-L._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyODY4NTYwODUyNjYxNDUwOjE3MjUzMzkxNDY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI3NTg1MTU3NTYzMjo6MDo6&url=%2FMarshall-Wireless-Playtime-Water-Resistant-Charging%2Fdp%2FB0D1VH7WMX%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.JGLzWpmHYhe-yQ96JYPZAPfQoiMiOLgzJlRoEbR2E2fypQXOF0dMhP8sHXs6cboGONrqojWSyalwCrQwXbQ-uw.i44f5Avh8qSjCNso1MENZYIWobjkuv2CEcKLXi5LJS4%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0D1VH7WMX%26pd_rd_r%3Db8dc535f-93c1-4b3c-9296-1c7351dfa5ad%26pd_rd_w%3DkfBDo%26pd_rd_wg%3DUvX2u%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DM7N9XZGNS685PCKJHEZ1%26qid%3D1725339146%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-33-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Marshall Minor Iv Wireless in Ear Earbuds with 30+ Hours of Playtime, Water-Resistant, Wireless Charging- Black","11,999",4.1,156,Not-Sponsored,100
https://m.media-amazon.com/images/I/51BmK07RwQL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyODY4NTYwODUyNjYxNDUwOjE3MjUzMzkxNDY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDI0NDk2MDY5NDIzMjo6MTo6&url=%2FpTron-Zenbuds-QuietSound-HyperDrive-Transducers%2Fdp%2FB0D5YQW2VZ%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.JGLzWpmHYhe-yQ96JYPZAPfQoiMiOLgzJlRoEbR2E2fypQXOF0dMhP8sHXs6cboGONrqojWSyalwCrQwXbQ-uw.i44f5Avh8qSjCNso1MENZYIWobjkuv2CEcKLXi5LJS4%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0D5YQW2VZ%26pd_rd_r%3Db8dc535f-93c1-4b3c-9296-1c7351dfa5ad%26pd_rd_w%3DkfBDo%26pd_rd_wg%3DUvX2u%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DM7N9XZGNS685PCKJHEZ1%26qid%3D1725339146%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-34-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"pTron Zenbuds 1 V2 ANC Bluetooth Earbuds 32dB QuietSound Tech, 13mm HyperDrivers with 4D Panaromic Audio, 4 QuadPro ANC Mics, 40ms Low Latency Game/Music Modes, Bluetooth V5.3 & Type C Charging(Brown)","1,399",4.4,833,Not-Sponsored,200
https://m.media-amazon.com/images/I/61T4T6zKPUL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyODY4NTYwODUyNjYxNDUwOjE3MjUzMzkxNDY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE3NzQ3ODc2OTIzMjo6Mjo6&url=%2FBoult-Earbuds-Playtime-Bluetooth-Electric%2Fdp%2FB0D1VKN1VG%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.JGLzWpmHYhe-yQ96JYPZAPfQoiMiOLgzJlRoEbR2E2fypQXOF0dMhP8sHXs6cboGONrqojWSyalwCrQwXbQ-uw.i44f5Avh8qSjCNso1MENZYIWobjkuv2CEcKLXi5LJS4%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0D1VKN1VG%26pd_rd_r%3Db8dc535f-93c1-4b3c-9296-1c7351dfa5ad%26pd_rd_w%3DkfBDo%26pd_rd_wg%3DUvX2u%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DM7N9XZGNS685PCKJHEZ1%26qid%3D1725339146%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-35-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult Audio Z40 Gaming in Ear Earbuds with 60H Playtime, Dual Device Pairing, Built-in App Support, 40ms Ultra Low Latency, Quad Mic ENC, RGB LEDs, Bluetooth 5.4, IPX5 Ear Buds TWS (Electric White)","1,299",4.2,959,Not-Sponsored,300
https://m.media-amazon.com/images/I/71UEM43FlwL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyODY4NTYwODUyNjYxNDUwOjE3MjUzMzkxNDY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE0ODc1NDcwMTYzMjo6Mzo6&url=%2FBoult-Wireless-Earbuds-Playtime-Breathing%2Fdp%2FB0CVLB99YR%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.JGLzWpmHYhe-yQ96JYPZAPfQoiMiOLgzJlRoEbR2E2fypQXOF0dMhP8sHXs6cboGONrqojWSyalwCrQwXbQ-uw.i44f5Avh8qSjCNso1MENZYIWobjkuv2CEcKLXi5LJS4%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0CVLB99YR%26pd_rd_r%3Db8dc535f-93c1-4b3c-9296-1c7351dfa5ad%26pd_rd_w%3DkfBDo%26pd_rd_wg%3DUvX2u%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DM7N9XZGNS685PCKJHEZ1%26qid%3D1725339146%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-36-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult Audio UFO Truly Wireless in Ear Earbuds with 48H Playtime, Built-in App Support, 45ms Low Latency Gaming, 4 Mics ENC, Breathing LEDs, 13mm Bass Drivers Ear Buds TWS, Made in India (Black Gloss)","1,199",4.2,"6,730",Not-Sponsored,5000
https://m.media-amazon.com/images/I/710dy4BFjLL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyODY4NTYwODUyNjYxNDUwOjE3MjUzMzkxNDY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDIwNTAyODE2NTEzMjo6NDo6&url=%2FBoult-Wireless-Earbuds-Playtime-Charging%2Fdp%2FB0D3R1JQ7D%2Fref%3Dsxin_34_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%253Aamzn1.sym.885faefa-2e35-4b1e-801d-830d2f11df89%26crid%3D2IZGJF2AM2DKC%26cv_ct_cx%3Doneplus%2Bbuds%26dib%3DeyJ2IjoiMSJ9.JGLzWpmHYhe-yQ96JYPZAPfQoiMiOLgzJlRoEbR2E2fypQXOF0dMhP8sHXs6cboGONrqojWSyalwCrQwXbQ-uw.i44f5Avh8qSjCNso1MENZYIWobjkuv2CEcKLXi5LJS4%26dib_tag%3Dse%26keywords%3Doneplus%2Bbuds%26pd_rd_i%3DB0D3R1JQ7D%26pd_rd_r%3Db8dc535f-93c1-4b3c-9296-1c7351dfa5ad%26pd_rd_w%3DkfBDo%26pd_rd_wg%3DUvX2u%26pf_rd_p%3D885faefa-2e35-4b1e-801d-830d2f11df89%26pf_rd_r%3DM7N9XZGNS685PCKJHEZ1%26qid%3D1725339146%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Doneplus%2Bbuds%252Caps%252C513%26sr%3D1-37-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,"Boult Audio W20 Truly Wireless in Ear Earbuds with 35H Playtime, Zen™ ENC Mic, 45ms Low Latency, 13mm Bass Drivers, Type-C Fast Charging, Made in India, Touch Control, IPX5 ear buds TWS (Glacier Blue)",799,4.1,"2,940",Not-Sponsored,5000
